日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-20 00:00:00,Long,DYN,24.44,2.95%,19.34,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DYNE THERAPEUTICS INC,1WK
2026-07-20 00:00:00,Long,CAE,25.18,1.98%,22.38,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",CAE INC,1WK
2026-07-20 00:00:00,Long,CAE,25.18,1.98%,22.38,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",CAE INC,1WK
2026-07-20 00:00:00,Short,USAR,14.15,-9.58%,20.94,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",USA RARE EARTH INC,1WK
2026-07-20 00:00:00,Short,NEXT,7.01,-8.79%,9.1,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NEXTDECADE CORP,1WK
2026-07-20 00:00:00,Long,ICE,145.79,4.40%,128.76,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTERCONTINENTAL EXCHANGE IN,1WK
2026-07-20 00:00:00,Short,DKNG,23.01,-7.74%,28.08,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DRAFTKINGS INC-CL A,1WK
2026-07-20 00:00:00,Long,PR,21.35,5.64%,18.64,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PERMIAN RESOURCES CORP-CL A,1WK
2026-07-20 00:00:00,Long,SAIC,118.99,3.01%,101.99,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SCIENCE APPLICATIONS INTE,1WK
2026-07-20 00:00:00,Long,FANG,204.68,4.67%,177.81,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DIAMONDBACK ENERGY INC,1WK
2026-07-20 00:00:00,Short,AESI,11.96,-15.00%,16.98,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ATLAS ENERGY SOLUTIONS INC,1WK
2026-07-20 00:00:00,Long,LVWR,1.46,110.37%,0.14,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",LIVEWIRE GROUP INC,1WK
2026-07-20 00:00:00,Long,LVWR,1.46,110.37%,0.14,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",LIVEWIRE GROUP INC,1WK
2026-07-20 00:00:00,Short,TE,5.0,-14.38%,8.3,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",T1 ENERGY INC,1WK
2026-07-20 00:00:00,Short,TXN,279.58,-1.56%,322.43,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TEXAS INSTRUMENTS INC,1WK
2026-07-20 00:00:00,Short,POET,6.89,-6.77%,11.34,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",POET TECHNOLOGIES INC,1WK
2026-07-20 00:00:00,Short,DKS,206.04,-5.21%,236.22,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DICK'S SPORTING GOODS INC,1WK
2026-07-20 00:00:00,Short,POOL,183.77,-8.65%,222.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",POOL CORP,1WK
