日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-06-08 00:00:00,Short,CRC,56.86,-2.54%,65.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CALIFORNIA RESOURCES CORP,1WK
2026-06-08 00:00:00,Long,MTH,73.59,7.70%,62.61,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MERITAGE HOMES CORP,1WK
2026-06-08 00:00:00,Short,NVTS,22.21,-11.44%,30.81,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NAVITAS SEMICONDUCTOR CORP,1WK
2026-06-08 00:00:00,Short,ARX,13.12,-12.47%,16.79,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ACCELERANT HOLDINGS-CL A,1WK
2026-06-08 00:00:00,Long,NVRI,21.13,9.48%,17.94,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ENVIRI CORP,1WK
2026-06-08 00:00:00,Long,NVRI,21.13,9.48%,17.94,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ENVIRI CORP,1WK
2026-06-08 00:00:00,Short,EQT,51.2,-4.74%,57.82,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EQT CORP,1WK
2026-06-08 00:00:00,Long,REYN,23.42,4.27%,20.98,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",REYNOLDS CONSUMER PRODUCTS I,1WK
2026-06-08 00:00:00,Long,REYN,23.42,4.27%,20.98,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 20}}",REYNOLDS CONSUMER PRODUCTS I,1WK
2026-06-08 00:00:00,Long,AUB,39.5,4.06%,35.76,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ATLANTIC UNION BANKSHARES CO,1WK
2026-06-08 00:00:00,Long,UFPT,238.6,6.58%,198.86,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",UFP TECHNOLOGIES INC,1WK
2026-06-08 00:00:00,Long,UFPT,238.6,6.58%,198.86,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 15}}",UFP TECHNOLOGIES INC,1WK
2026-06-08 00:00:00,Long,SYBT,74.81,4.18%,68.21,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",STOCK YARDS BANCORP INC,1WK
2026-06-08 00:00:00,Long,SYBT,74.81,4.18%,68.21,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 15}}",STOCK YARDS BANCORP INC,1WK
2026-06-08 00:00:00,Short,WOLF,45.54,-17.29%,72.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WOLFSPEED INC,1WK
2026-06-08 00:00:00,Long,RRR,62.32,8.59%,53.14,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",RED ROCK RESORTS INC-CLASS A,1WK
2026-06-08 00:00:00,Long,RRR,62.32,8.59%,53.14,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 12}}",RED ROCK RESORTS INC-CLASS A,1WK
2026-06-08 00:00:00,Long,CW,757.23,3.29%,655.06,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CURTISS-WRIGHT CORP,1WK
2026-06-08 00:00:00,Long,FCF,19.6,2.56%,18.36,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FIRST COMMONWEALTH FINL CORP,1WK
2026-06-08 00:00:00,Long,AGYS,91.78,3.68%,77.31,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",AGILYSYS INC,1WK
2026-06-08 00:00:00,Short,BW,15.86,-3.06%,20.28,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BABCOCK & WILCOX ENTERPR,1WK
2026-06-08 00:00:00,Long,ESTA,85.11,14.53%,63.26,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ESTABLISHMENT LABS HOLDINGS,1WK
2026-06-08 00:00:00,Long,ESTA,85.11,14.53%,63.26,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",ESTABLISHMENT LABS HOLDINGS,1WK
2026-06-08 00:00:00,Long,VCEL,38.57,6.25%,32.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VERICEL CORP,1WK
