日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-07-31,002461,珠江啤酒,9.01,19.02,1986639.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",非白酒,212.7,212.7
2026-07-31,002479,富春环保,5.36,27.32,5472051.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电力,50.69,50.58
2026-07-31,002500,山西证券,5.41,4.84,6334865.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,201.03,201.03
2026-07-31,002511,中顺洁柔,7.47,12.33,3346769.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",个护用品,107.54,105.76
2026-07-31,002523,天桥起重,3.26,10.12,6311209.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",专用设备,57.37,57.17
2026-07-31,002550,千红制药,6.79,9.34,7514134.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,96.11,70.69
2026-07-31,002568,百润股份,20.6,21.75,4259349.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",非白酒,180.31,123.91
2026-07-31,002597,金禾实业,21.02,7.24,1909876.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制品,130.66,130.31
2026-07-31,002603,以岭药业,16.89,12.6,7653176.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,275.83,227.32
2026-07-31,002608,江苏国信,7.41,9.51,7250787.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电力,334.74,334.74
2026-07-31,002642,荣联科技,7.39,19.97,6595992.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",IT服务Ⅱ,51.27,51.27
2026-07-31,002651,利君股份,7.81,7.72,2034948.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航空装备Ⅱ,96.42,52.76
2026-07-31,002670,国盛证券,12.1,10.0,7654289.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,276.52,231.98
2026-07-31,002701,奥瑞金,4.94,15.96,8050962.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",包装印刷,130.55,130.43
2026-07-31,002793,罗欣药业,4.62,20.31,12371862.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,51.99,51.91
2026-07-31,002807,江阴银行,4.15,11.86,9285203.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",银行Ⅱ,111.25,111.1
2026-07-31,002839,张家港行,4.58,17.44,6877210.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",银行Ⅱ,109.75,109.65
2026-07-31,002841,视源股份,45.19,30.87,4730825.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",消费电子,232.26,173.32
2026-07-31,002867,周大生,12.92,22.11,1909210.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",饰品,128.52,127.77
2026-07-31,002882,金龙羽,22.6,19.64,1465754.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电网设备,120.56,68.73
2026-07-31,002911,佛燃能源,11.37,19.81,1845468.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",燃气Ⅱ,188.53,183.97
2026-07-31,002926,华西证券,8.4,4.93,4531220.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,217.35,217.35
2026-07-31,002939,长城证券,8.32,1.23,5905713.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,361.48,322.8
2026-07-31,002945,华林证券,14.64,9.52,3288757.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,415.8,415.8
2026-07-31,002946,新乳业,18.24,29.55,2011861.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",饮料乳品,155.27,153.47
2026-07-31,002950,奥美医疗,9.22,3.71,2220393.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗器械,74.03,52.84
2026-07-31,002958,青农商行,3.17,20.72,17172961.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",银行Ⅱ,170.56,166.99
2026-07-31,002966,苏州银行,8.49,21.98,12360534.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",银行Ⅱ,372.85,366.64
2026-07-31,300026,红日药业,3.37,16.56,16438657.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,104.54,95.3
2026-07-31,300039,上海凯宝,5.5,29.11,13636813.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,61.92,54.28
2026-07-31,300048,合康新能,5.35,14.56,3694274.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",自动化设备,77.18,77.02
2026-07-31,300049,福瑞医科,45.38,17.1,2343466.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗器械,154.64,136.35
2026-07-31,300072,海新能科,3.49,2.65,7887250.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制品,134.17,133.12
2026-07-31,300098,高新兴,4.66,1.53,9314604.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",通信设备,90.71,80.48
