日期,信号,代码,名称,现价,涨幅,止损,策略,参组,参数,周期
2026-06-29 00:00:00,Long,03692,HANSOH PHARMA,31.52,10.68%,25.78,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,03759,PHARMARON,18.64,8.96%,15.34,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,03759,PHARMARON,18.64,8.96%,15.34,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 18}}",1WK
2026-06-29 00:00:00,Long,03933,UNITED LAB,8.98,12.52%,7.1,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,03933,UNITED LAB,8.98,12.52%,7.1,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,03988,BANK OF CHINA,4.81,-2.30%,5.37,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,03998,BOSIDENG,4.44,12.41%,3.6,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,06049,POLY PPT SER,26.42,1.54%,23.87,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06049,POLY PPT SER,26.42,1.54%,23.87,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06078,HYGEIA HEALTH,9.41,7.91%,7.85,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06078,HYGEIA HEALTH,9.41,7.91%,7.85,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06098,CG SERVICES,5.0,1.21%,4.51,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06098,CG SERVICES,5.0,1.21%,4.51,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,06651,51WORLD,83.15,-15.93%,126.42,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,06690,HAIER SMARTHOME,20.32,3.15%,18.48,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06690,HAIER SMARTHOME,20.32,3.15%,18.48,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06806,SWHY,2.48,4.05%,2.2,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06806,SWHY,2.48,4.05%,2.2,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,06818,CEB BANK,2.88,-5.39%,3.32,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Short,06818,CEB BANK,2.88,-5.39%,3.32,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,06855,ASCENTAGE,34.9,14.50%,25.75,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06855,ASCENTAGE,34.9,14.50%,25.75,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06887,SUNSHINE PHARMA,37.68,10.82%,30.6,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06887,SUNSHINE PHARMA,37.68,10.82%,30.6,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06936,SF HOLDING,30.58,4.65%,27.33,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,06936,SF HOLDING,30.58,4.65%,27.33,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,07618,JD INDUSTRIALS,11.5,7.38%,9.15,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
