日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-06-18 00:00:00,Short,NUE,246.92,-2.25%,261.93,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Nucor,1D,,,,,,
2026-06-18 00:00:00,Long,UNH,404.17,1.16%,389.78,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",UnitedHealth,1D,一直亮绿,nan-373.4-353.09-291.37-401.85,低-低-低-高,nan%-5.44%-17.48%-37.92%,25.0,7.85
2026-06-18 00:00:00,Short,CVX,173.93,-2.06%,180.0,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Chevron,1D,一直亮红,nan-144.5-143.75-176.13,低-低-高,nan%-0.51%-22.52%,43.0,12.91
2026-06-18 00:00:00,Short,LMT,514.73,-3.30%,548.7,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Lockheed,1D,,,,,,
2026-06-18 00:00:00,Short,STLD,253.49,-6.16%,271.93,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Steel Dynamics,1D,,,,,,
2026-06-18 00:00:00,Short,STLD,253.49,-6.16%,271.93,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Steel Dynamics,1D,,,,,,
2026-06-18 00:00:00,Long,UUUU,16.66,8.89%,14.86,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Energy Fuels,1D,,,,,,
2026-06-18 00:00:00,Long,UUUU,16.66,8.89%,14.86,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 10}}",Energy Fuels,1D,,,,,,
2026-06-18 00:00:00,Long,BLK,1073.48,1.52%,1038.72,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}","Blackrock, Inc.",1D,,,,,,
2026-06-18 00:00:00,Long,HIMS,34.4,7.87%,30.32,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Hims & Hers Health,1D,压力释放,65.3-40.99-36.45-27.54-31.85,低-低-低-高,37.23%-11.08%-24.44%-15.67%,42.0,47.96
2026-06-18 00:00:00,Long,TLT,87.01,0.79%,86.33,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",iShares 20+ Year Treasury Bond ETF,1D,压力释放,89.48-88.3-87.01-89.51-86.71,低-低-高-低,1.33%-1.45%-2.87%-3.14%,50.0,5.17
2026-06-18 00:00:00,Long,TT,488.96,3.48%,464.63,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Trane Technologies,1D,,,,,,
2026-06-18 00:00:00,Long,TT,488.96,3.48%,464.63,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 19}}",Trane Technologies,1D,,,,,,
2026-06-18 00:00:00,Long,RIOT,27.95,1.90%,25.8,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Riot Platforms,1D,,,,,,
2026-06-18 00:00:00,Long,GS,1112.77,1.24%,1079.87,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Goldman Sachs,1D,,,,,,
2026-06-18 00:00:00,Short,PLTR,126.15,-3.43%,137.86,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Palantir Technologies,1D,一直亮红,147.56-166.35-126.23-122.68-128.75,高-低-低-高,12.73%-24.12%-2.81%-4.95%,25.0,27.15
2026-06-18 00:00:00,Short,PLTR,126.15,-3.43%,137.86,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Palantir Technologies,1D,一直亮红,nan-147.56-126.23-122.68-128.75,低-低-低-高,nan%-14.45%-2.81%-4.95%,25.0,27.15
