日期,代码,名称,现价,涨幅(%),成交量,离SMA200(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-08-04,301629,矽电股份,223.6,5.97,11402.0,-21.23,,suf,"{""suf"": {""timeframe"": ""d""}}",半导体,100.23,46.11,6.98,10.47,14.23,14.42,13.62,16.1,12.95,14.71,21.43,23.07,12.43,12.62,14.05,14.4,14.45,14.45,30.14,38.57,34.03,31.94,35.9,28.5,20.21,30.93,29.81,29.14,25.67,18.77,20.53,22.81
2026-08-04,600226,亨通股份,5.35,7.21,1480928.0,-6.14,,suf,"{""suf"": {""timeframe"": ""d""}}",电力,143.07,143.07,7.29,9.35,15.33,13.08,12.9,15.14,13.83,17.94,21.5,20.19,13.08,12.71,16.07,13.27,11.59,11.4,15.89,13.27,16.64,13.27,11.4,10.09,6.73,9.16,9.53,10.28,9.35,7.66,10.47,10.65
2026-08-04,600246,万通发展,11.02,6.37,1199832.0,-14.8,,suf,"{""suf"": {""timeframe"": ""d""}}",房地产开发,192.74,187.53,6.26,11.71,14.34,12.52,12.34,13.52,13.7,14.07,20.51,22.96,10.71,6.17,9.98,3.18,4.36,6.62,13.16,9.98,20.96,14.97,15.15,14.16,8.35,16.24,15.06,12.61,11.25,8.71,10.71,14.88
2026-08-04,600367,红星发展,27.2,6.17,249782.0,6.78,,suf,"{""suf"": {""timeframe"": ""d""}}",化学原料,78.02,73.64,10.0,15.77,21.18,21.69,24.08,23.01,21.36,23.64,27.76,40.55,46.62,31.95,27.5,40.26,40.7,44.01,48.9,54.78,50.99,39.56,41.14,41.76,29.34,32.46,30.37,28.64,29.01,26.21,29.78,30.29
2026-08-04,600487,亨通光电,50.27,6.12,2257544.0,3.14,,suf,"{""suf"": {""timeframe"": ""d""}}",通信设备,1207.3,1196.92,8.24,11.7,18.4,18.6,14.62,17.96,13.89,25.28,29.42,30.12,17.19,23.37,23.69,20.21,28.51,28.96,41.83,36.66,34.04,33.96,33.08,29.88,23.77,27.31,25.54,32.52,27.13,29.78,25.72,24.17
2026-08-04,600498,烽火通信,34.46,4.74,773384.0,-19.42,,suf,"{""suf"": {""timeframe"": ""d""}}",通信设备,624.49,584.69,7.08,9.66,13.78,11.14,10.91,14.31,13.38,18.69,21.1,18.83,8.39,11.72,18.11,13.52,17.99,14.83,23.94,19.5,23.22,18.22,16.42,14.22,9.69,13.15,16.77,19.09,16.45,18.25,17.9,16.86
2026-08-04,600869,远东股份,14.16,6.79,1159955.0,-4.7,,suf,"{""suf"": {""timeframe"": ""d""}}",电网设备,313.59,313.59,6.92,10.17,14.12,10.59,11.44,15.82,11.65,16.38,21.26,20.76,8.76,17.23,19.49,14.12,14.41,22.32,26.77,31.71,34.75,25.21,37.71,48.66,49.72,47.46,60.03,76.06,70.2,79.03,72.03,54.8
2026-08-04,601208,东材科技,35.75,10.0,569776.0,3.06,,suf,"{""suf"": {""timeframe"": ""d""}}",塑料,303.56,303.56,10.01,16.81,28.5,26.94,33.34,35.38,31.24,33.45,38.74,38.41,26.04,27.89,27.92,22.29,23.92,24.87,37.34,43.44,45.99,35.05,33.54,29.68,29.03,37.57,32.62,31.94,35.92,33.48,35.08,38.1
2026-08-04,603052,可川科技,50.08,6.6,41597.0,-14.61,,suf,"{""suf"": {""timeframe"": ""d""}}",消费电子,120.61,120.61,3.39,6.01,9.03,7.19,6.13,16.75,12.56,15.28,18.75,20.41,8.37,11.56,22.72,13.46,13.54,14.28,17.39,16.27,20.03,16.51,14.84,14.74,9.98,16.41,13.26,12.88,10.12,8.79,8.43,9.35
2026-08-04,603075,热威股份,18.9,1.94,26600.0,-16.9,,suf,"{""suf"": {""timeframe"": ""d""}}",家电零部件Ⅱ,82.75,8.48,0.26,1.48,0.48,2.65,1.59,1.8,0.53,0.16,1.16,3.07,-1.59,0.58,1.85,0.74,1.96,2.49,2.96,2.33,2.49,3.07,3.33,2.22,1.32,0.69,10.74,7.41,5.29,4.87,7.41,5.5
