日期,信号,代码,相距SMA,现价,涨幅,止损,策略,参组,参数,名称,周期,SMA,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-09-21 00:00:00,Long,MKC,-12.1,48.89,0.35%,47.25,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",MCCORMICK & CO-NON VTG SHRS,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,INV,-78.66,0.88,47.16%,0.52,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",INNVENTURE INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,INV,-78.66,0.88,47.16%,0.52,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",INNVENTURE INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,CHYM,,29.92,-1.35%,32.28,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHIME FINANCIAL INC-CL A,1D,,,,,,,
2026-09-21 00:00:00,Short,UVV,,43.31,-1.88%,45.34,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",UNIVERSAL CORP/VA,1D,,支撑释放,49.16-49.97-48.4-50.26-43.36,高-低-高-低,1.65%-3.15%-3.84%-13.73%,24.0,7.93
2026-09-21 00:00:00,Short,UVV,,43.31,-1.88%,45.34,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",UNIVERSAL CORP/VA,1D,,支撑释放,49.63-49.16-48.4-50.26-43.36,低-低-高-低,0.94%-1.56%-3.84%-13.73%,24.0,7.93
2026-09-21 00:00:00,Short,BGSI,,79.82,-2.00%,86.43,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BOYD GROUP SERVICES INC,1D,,一直释放,nan-154.53-115.27-94.66-88.87,低-低-低-低,nan%-25.41%-17.88%-6.12%,63.0,30.05
2026-09-21 00:00:00,Long,BTLN,-10.27,0.71,5.97%,0.55,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",BRIGHTLINE INTERACTIVE INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,BTLN,-10.27,0.71,5.97%,0.55,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",BRIGHTLINE INTERACTIVE INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,ZOOZ,,8.01,7.23%,6.91,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ZOOZ STRATEGY LTD,1D,,一直释放,10.8-8.4-7.0-6.2-5.65,低-低-低-低,22.22%-16.67%-11.43%-8.87%,36.0,11.88
